TIMP3	09/01/2020	C	3	15,95
XPLG11	09/01/2020	V	-5	136,03
VIVA3	09/01/2020	V	-10	28,51
QUAL3	09/01/2020	V	-35	39,99
HGRE11	09/01/2020	V	-2	209,12
XPPR11	10/01/2020	C	1	117,12
XPPR11	10/01/2020	C	1	117,12
BBPO11	10/01/2020	C	2	169
XPPR11	10/01/2020	C	3	117,13
BBPO11	10/01/2020	C	5	168,7
ECOR3	10/01/2020	C	10	16,37
ECOR3	10/01/2020	C	10	16,41
BBSE3	10/01/2020	C	10	36,45
BBSE3	10/01/2020	C	10	36,47
BBSE3	10/01/2020	C	10	36,55
BBSE3	10/01/2020	C	10	36,63
BBSE3	10/01/2020	C	10	36,7
IRBR3	10/01/2020	C	10	40,91
IRBR3	10/01/2020	C	10	41,18
BBSE3	10/01/2020	C	25	36,8
BBSE3	10/01/2020	C	25	37,03
BBSE3	10/01/2020	C	30	36,9
WIZS3	10/01/2020	C	3	14,79
SUZB3	10/01/2020	V	-2	43,37
SUZB3	10/01/2020	V	-5	43,37
WIZS3	10/01/2020	V	-9	14,9
SUZB3	10/01/2020	V	-13	43,34
WIZS3	10/01/2020	V	-14	14,9
USIM5	10/01/2020	V	-20	9,12
WIZS3	10/01/2020	V	-20	14,91
VIVT4	10/01/2020	V	-40	57,1
TIMP3	10/01/2020	V	-74	16,05
USIM5	10/01/2020	V	-100	9,1
VIVT4	10/01/2020	V	-100	57,09
GNDI3	10/01/2020	C	-30	69
HGRE11	10/01/2020	V	-3	209,95
QUAL3	10/01/2020	V	-96	41,02
NTCO3	13/01/2020	C	1	43,4
HGRE11	13/01/2020	C	5	209
JSLG3	13/01/2020	C	10	31,65
PCAR4	13/01/2020	C	15	90,02
BRCR11	13/01/2020	V	-10	119,63
IRBR3	13/01/2020	V	-20	41,57
HGTX3	13/01/2020	V	-30	31,09
QUAL3	13/01/2020	V	-29	41,1
TOTS3	13/01/2020	V	-15	69,55
NTCO3	14/01/2020	C	1	43,3
MGLU3	14/01/2020	C	1	54,89
IRBR3	14/01/2020	C	2	41,54
QUAL3	14/01/2020	C	2	42,3
NTCO3	14/01/2020	C	2	43,8
IRBR3	14/01/2020	C	3	41,55
PRIO3	14/01/2020	C	5	39,16
SUZB3	14/01/2020	C	5	44,19
SUZB3	14/01/2020	C	5	44,35
SUZB3	14/01/2020	C	5	44,61
MGLU3	14/01/2020	C	5	54
LREN3	14/01/2020	C	5	57,1
VIVT4	14/01/2020	C	5	58,5
RADL3	14/01/2020	C	5	111,29
QUAL3	14/01/2020	C	8	42,3
MGLU3	14/01/2020	C	9	54,89
TIMP3	14/01/2020	C	10	16,23
JSLG3	14/01/2020	C	10	31,81
IRBR3	14/01/2020	C	10	41,6
QUAL3	14/01/2020	C	10	41,7
QUAL3	14/01/2020	C	10	41,85
QUAL3	14/01/2020	C	10	41,91
QUAL3	14/01/2020	C	10	42,15
QUAL3	14/01/2020	C	10	42,48
SUZB3	14/01/2020	C	10	44,99
LREN3	14/01/2020	C	10	57,64
VIVT4	14/01/2020	C	10	57,85
VIVT4	14/01/2020	C	10	57,9
BTOW3	14/01/2020	C	10	68,57
BTOW3	14/01/2020	C	10	68,95
BPAC11	14/01/2020	C	10	75,67
VIVT4	14/01/2020	C	15	58,45
QUAL3	14/01/2020	C	20	42,05
QUAL3	14/01/2020	C	20	42,7
TIMP3	14/01/2020	C	30	16,33
VIVT4	14/01/2020	C	30	58,35
BBSE3	14/01/2020	V	-3	36,17
BBSE3	14/01/2020	V	-4	36,18
XPPR11	14/01/2020	V	-5	115,2
BRCR11	14/01/2020	V	-5	119,21
HSML11	14/01/2020	V	-5	124,09
HGRE11	14/01/2020	V	-5	208,1
BBSE3	14/01/2020	V	-9	36,37
BBPO11	14/01/2020	V	-12	166,26
BBSE3	14/01/2020	V	-16	36,38
BBSE3	14/01/2020	V	-25	36,39
BBSE3	14/01/2020	V	-43	36,17
ECOR3	14/01/2020	V	-50	16,9
BBSE3	14/01/2020	V	-50	36,7
PCAR4	14/01/2020	V	-15	90,44
HGTX3	15/01/2020	C	2	32,61
HGTX3	15/01/2020	C	3	32,61
NTCO3	15/01/2020	C	3	44
PCAR4	15/01/2020	C	3	88
HGTX3	15/01/2020	C	5	32,2
HGTX3	15/01/2020	C	5	32,54
GOLL4	15/01/2020	C	5	36,8
MGLU3	15/01/2020	C	5	54
BPAC11	15/01/2020	C	5	74,05
PCAR4	15/01/2020	C	5	88,2
PCAR4	15/01/2020	C	5	88,99
PCAR4	15/01/2020	C	5	89,05
USIM5	15/01/2020	C	7	9,35
PCAR4	15/01/2020	C	7	88
USIM5	15/01/2020	C	10	9,4
VVAR3	15/01/2020	C	10	13,2
ABEV3	15/01/2020	C	10	18,8
GOLL4	15/01/2020	C	10	36,9
QUAL3	15/01/2020	C	10	41,8
QUAL3	15/01/2020	C	10	41,9
QUAL3	15/01/2020	C	10	42,2
QUAL3	15/01/2020	C	10	42,3
QUAL3	15/01/2020	C	10	42,36
VIVT4	15/01/2020	C	10	57,6
VIVT4	15/01/2020	C	10	57,8
VIVT4	15/01/2020	C	10	57,85
